attribute,r.label
nitrogenTotal,n
availableWaterHoldingCapacity,awc
carbonInorganic,ic
effectiveCec,cec_e
totalElements,tot_elem
baseSaturation,bs
solubleSalts,ss
totalCarbonateEquivalent,co3_eq
textureSum,texture_sum
coarseFragments,coarse
porosity,porosity
pH,ph
phosphorusRetention,p_ret
bulkDensityWholeSoil,bd_tot
cationExchangeCapacitySoil,cec
moistureContent,mc
gypsum,gypsum
texture,texture
electricalConductivity,ec
exchangeableBases,ex
carbonOrganic,soc
acidityExchangeable,
organicMatter,om
bulkDensityFineEarth,bd
hydraulicConductivity,hydrc
extractableElements,exct_elem
carbonTotal,tc